# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	2291	110
180	0	2292	110
180	0	2293	110
180	0	2294	110
180	0	2295	110
180	0	2296	105
180	0	2297	105
180	0	2298	105
180	0	2299	104
180	0	2300	104
180	0	2301	104
180	0	2302	104
180	0	2303	104
180	0	2304	104
180	0	2305	104
180	0	2306	104
180	0	2307	104
180	0	2308	104
180	0	2309	101
180	0	2310	101
180	0	2311	101
180	0	2312	101
180	0	2313	101
180	0	2314	101
180	0	2315	101
180	0	2316	101
180	0	2317	101
180	0	2318	103
180	0	2319	103
180	0	2320	103
180	0	2321	105
180	0	2322	105
180	0	2323	105
180	0	2324	105
180	0	2325	105
180	0	2331	105
180	0	2332	105
180	0	2377	104
180	0	2378	104
180	0	2379	104
180	0	2380	105
180	0	2381	105
180	0	2382	105
180	0	2383	105
180	0	2384	105
180	0	2385	105
180	0	2386	105
180	0	2387	105
180	0	2388	105
180	0	2389	105
180	0	2390	105
180	0	2391	105
180	0	2423	110
180	0	2424	110
180	0	2425	110
180	0	2426	110
180	0	2427	110
180	0	2428	110
180	0	2429	110
180	0	2430	110
180	0	2431	110
180	0	2432	110
180	0	2435	110
180	0	2436	110
180	0	2441	110
180	0	2442	110
180	0	2443	110
180	0	2444	110
180	0	2445	110
180	0	2446	110
180	0	2447	105
180	0	2448	105
180	0	2449	105
180	0	2450	105
180	0	2451	104
180	0	2452	104
180	0	2453	104
180	0	2454	104
180	0	2455	104
180	0	2456	104
180	0	2457	104
180	0	2458	104
180	0	2459	104
180	0	2460	101
180	0	2461	101
180	0	2462	101
180	0	2463	101
180	0	2464	101
180	0	2465	101
180	0	2466	101
180	0	2467	101
180	0	2468	101
180	0	2469	101
180	0	2470	103
180	0	2471	103
180	0	2472	103
180	0	2473	105
180	0	2474	105
180	0	2475	105
180	0	2476	105
180	0	2477	105
180	0	2482	105
180	0	2533	107
180	0	2534	104
180	0	2535	104
180	0	2536	104
180	0	2537	104
180	0	2538	107
180	0	2539	107
180	0	2540	107
180	0	2541	107
180	0	2542	107
180	0	2578	109
180	0	2579	109
180	0	2580	109
180	0	2581	109
180	0	2582	109
180	0	2583	109
180	0	2584	109
180	0	2585	109
180	0	2586	109
180	0	2587	109
180	0	2588	109
